sub,File.name,condition,time,Mean.Pitch
1,P001_stranger_Talk_match_Post_Trial_1_2023-05-02,match,post,116.0238181
1,P001_stranger_Talk_match_Post_Trial_2_2023-05-02,match,post,118.2847465
1,P001_stranger_Talk_match_Post_Trial_3_2023-05-02,match,post,117.2000949
1,P001_stranger_Talk_match_Post_Trial_4_2023-05-02,match,post,116.6158635
1,P001_stranger_Talk_match_Post_Trial_5_2023-05-02,match,post,117.3018817
1,P001_stranger_Talk_match_Post_Trial_6_2023-05-02,match,post,126.1207874
1,P001_stranger_Talk_match_Post_Trial_7_2023-05-02,match,post,116.4623797
1,P001_stranger_Talk_match_Post_Trial_8_2023-05-02,match,post,124.0825092
1,P001_stranger_Talk_match_Post_Trial_9_2023-05-02,match,post,116.7570866
1,P001_stranger_Talk_match_Post_Trial_10_2023-05-02,match,post,122.7206878
1,P001_stranger_Talk_match_Pre_Trial_1_2023-05-02,match,pre,104.3070748
1,P001_stranger_Talk_match_Pre_Trial_2_2023-05-02,match,pre,111.1642961
1,P001_stranger_Talk_match_Pre_Trial_3_2023-05-02,match,pre,116.1235136
1,P001_stranger_Talk_match_Pre_Trial_4_2023-05-02,match,pre,113.0686238
1,P001_stranger_Talk_match_Pre_Trial_5_2023-05-02,match,pre,104.9353061
1,P001_stranger_Talk_match_Pre_Trial_6_2023-05-02,match,pre,104.2555098
1,P001_stranger_Talk_match_Pre_Trial_7_2023-05-02,match,pre,105.7804896
1,P001_stranger_Talk_match_Pre_Trial_8_2023-05-02,match,pre,103.5822981
1,P001_stranger_Talk_match_Pre_Trial_9_2023-05-02,match,pre,102.5006097
1,P001_stranger_Talk_match_Pre_Trial_10_2023-05-02,match,pre,102.8852165
1,P001_stranger_Talk_mis_Post_Trial_1_2023-05-02,mismatch,post,121.7013286
1,P001_stranger_Talk_mis_Post_Trial_2_2023-05-02,mismatch,post,125.6780808
1,P001_stranger_Talk_mis_Post_Trial_3_2023-05-02,mismatch,post,121.2498137
1,P001_stranger_Talk_mis_Post_Trial_4_2023-05-02,mismatch,post,130.7615828
1,P001_stranger_Talk_mis_Post_Trial_5_2023-05-02,mismatch,post,118.5117113
1,P001_stranger_Talk_mis_Post_Trial_6_2023-05-02,mismatch,post,123.0071582
1,P001_stranger_Talk_mis_Post_Trial_7_2023-05-02,mismatch,post,130.901824
1,P001_stranger_Talk_mis_Post_Trial_8_2023-05-02,mismatch,post,126.0760251
1,P001_stranger_Talk_mis_Post_Trial_9_2023-05-02,mismatch,post,132.848759
1,P001_stranger_Talk_mis_Post_Trial_10_2023-05-02,mismatch,post,128.6086117
1,P001_stranger_Talk_mis_Pre_Trial_1_2023-05-02,mismatch,pre,112.4987022
1,P001_stranger_Talk_mis_Pre_Trial_2_2023-05-02,mismatch,pre,110.4117196
1,P001_stranger_Talk_mis_Pre_Trial_3_2023-05-02,mismatch,pre,105.5367026
1,P001_stranger_Talk_mis_Pre_Trial_4_2023-05-02,mismatch,pre,122.2353835
1,P001_stranger_Talk_mis_Pre_Trial_5_2023-05-02,mismatch,pre,112.9523428
1,P001_stranger_Talk_mis_Pre_Trial_6_2023-05-02,mismatch,pre,111.9345925
1,P001_stranger_Talk_mis_Pre_Trial_7_2023-05-02,mismatch,pre,111.4531354
1,P001_stranger_Talk_mis_Pre_Trial_8_2023-05-02,mismatch,pre,116.1302047
1,P001_stranger_Talk_mis_Pre_Trial_9_2023-05-02,mismatch,pre,111.2686478
1,P001_stranger_Talk_mis_Pre_Trial_10_2023-05-02,mismatch,pre,112.4899138
2,P002_stranger_Talk_match_Post_Trial_1_2023-05-06,match,post,128.6929796
2,P002_stranger_Talk_match_Post_Trial_2_2023-05-06,match,post,128.355849
2,P002_stranger_Talk_match_Post_Trial_3_2023-05-06,match,post,128.5714651
2,P002_stranger_Talk_match_Post_Trial_4_2023-05-06,match,post,128.7938955
2,P002_stranger_Talk_match_Post_Trial_5_2023-05-06,match,post,128.8267691
2,P002_stranger_Talk_match_Post_Trial_6_2023-05-06,match,post,129.5361617
2,P002_stranger_Talk_match_Post_Trial_7_2023-05-06,match,post,130.6867563
2,P002_stranger_Talk_match_Post_Trial_8_2023-05-06,match,post,128.3913262
